SUB_ID,X,Subject,GENOTYPE_GROUP,SEX_GROUP,AGE_GROUP,AGE_MONTHS,DIET_GROUP,HN_GROUP,Weight,Animal_ID,DWI_ID,Winding_Number,Island_Entry,Distance_Total,Norm_SW_Distance,Winding_Number_Norm,Island_Entry_Norm,Distance_Total_Norm,Norm_SW_Distance_Norm,Weight_Norm
91,91,91,3,1,1,14.77,1,1,34.1,210201_16,N58881,18.1808491858042,2,11.217,0.321208879379513,1.4673983321385,1.43073011396477,1.46818780172738,1.37418976614882,1.35020101804881
92,92,92,3,2,1,14.97,1,1,24.9,210201_10,N58883,19.6286001813367,0,11.563,0.375594568883508,1.54310946980495,1.26674426130995,1.50049858341957,1.43717493313058,1.35020101804881
93,93,93,3,1,1,14.3,1,1,30.9,210201_12,N58885,22.9155896757974,1,7.357,0.189343482397716,1.71500485436435,1.34873718763736,1.10772647995903,1.22147378288626,1.35020101804881
94,94,94,3,1,1,14.3,1,1,29.2,210201_11,N58887,16.7959760420532,1,10.359,0.460179554011005,1.39497543513435,1.34873718763736,1.38806453383172,1.5351345151639,1.35020101804881
95,95,95,3,1,2,16.83,1,1,32.8,210201_17,N58889,19.4119400344199,3,11.349,0.604987223543925,1.53177907786555,1.51272304029218,1.48051445832672,1.70283920602932,1.35020101804881
96,96,96,3,2,1,14.97,1,1,25.6,210201_9,N58906,16.1280646014271,6,14.228,0.474205791397245,1.3600465453002,1.75870181927442,1.74936630945913,1.55137858436584,1.35020101804881
97,97,97,3,2,1,14.97,1,1,25.2,210201_8,N58909,14.6910963976505,3,15.298,0.345992940253628,1.28489930117178,1.51272304029218,1.84928693492341,1.40289268831233,1.35020101804881
98,98,98,3,2,1,14.97,1,1,26.3,210201_6,N58913,14.6867084272304,2,13.655,0.190552911021604,1.28466982922972,1.43073011396477,1.69585741376657,1.22287444663665,1.35020101804881
99,99,99,3,2,1,14.97,1,1,25.7,210201_7,N58915,18.0033447393425,3,13.199,0.390256837639215,1.45811561458283,1.51272304029218,1.6532744182416,1.45415560312543,1.35020101804881
100,100,100,2,2,1,15.5,1,1,40.9,210222_7,N58917,17.9468828736448,5,11.633,0.54706438579902,1.45516290234161,1.67670889294701,1.5070354467677,1.63575759612986,1.35020101804881
101,101,101,3,1,1,14.3,1,1,27.9,210201_13,N58919,16.7136552541709,4,12.356,0.394707024927161,1.39067041270757,1.5947159666196,1.57455190677768,1.45930945503,1.35020101804881
102,102,102,3,1,2,16.07,1,2,29.5,210112_6,N58935,15.59331106,2,11.7,0.487008547008547,1.33208123972103,1.43073011396477,1.51329215882949,1.56620571457893,1.68436797778609
103,103,103,3,1,1,15.93,2,2,49.9,210112_12,N58941,17.44105044,0,10.177,0.364449248305001,1.42871004605761,1.26674426130995,1.37106868912658,1.4242673119511,1.68436797778609
104,104,104,3,1,1,15.87,2,2,45.3,210112_9,N58946,15.12073009,4,14.259,0.3782873974332,1.30736729168119,1.5947159666196,1.75226120608473,1.44029355233726,1.68436797778609
105,105,105,3,2,2,16.37,2,2,52.6,210112_4,N58948,20.00361876,4,11.342,0.626697231528831,1.56272132524437,1.5947159666196,1.4798607719919,1.72798200536819,1.68436797778609
106,106,106,2,1,2,19.97,1,1,32.9,210503_6,N58952,19.6756177574965,3,10.094,0.411531602932435,1.54556828640557,1.51272304029218,1.36331783687094,1.47879433910013,1.35020101804881
107,107,107,3,1,1,15.87,2,2,51.1,210112_11,N58954,14.61868084,1,11.335,0.215438906043229,1.28111227959736,1.34873718763736,1.47920708565709,1.25169542079805,1.68436797778609
108,108,108,2,2,1,15.5,1,1,29,210222_8,N58995,20.1675589023699,4,13.452,0.522078501338091,1.57129468815438,1.5947159666196,1.67690051005699,1.60682093798851,1.35020101804881
109,109,109,2,1,1,13.17,1,1,37.1,211004_1,N58997,17.6282442146188,3,12.618,0.462276113488667,1.43849947371762,1.51272304029218,1.59901845245212,1.53756258309853,1.35020101804881
110,110,110,2,1,1,13.17,1,1,36.3,211004_2,N58999,20.5315094429422,5,12.962,0.410430489122049,1.59032773290177,1.67670889294701,1.63114246662007,1.47751911692596,1.35020101804881
111,111,111,2,2,2,17.23,1,1,31.2,210201_2,N59003,14.4852941345657,6,15.687,0.528718046790336,1.27413672976235,1.75870181927442,1.8856132183866,1.61451032986359,1.35020101804881
112,112,112,2,2,1,15.5,1,1,33.2,210222_9,N59005,18.8232856826532,7,13.608,0.530643738977072,1.50099499220296,1.84069474560184,1.69146837694711,1.61674051293277,1.35020101804881
113,113,113,2,1,1,12.77,1,1,37.2,211004_3,N59010,20.3654523714671,4,11.792,0.556054952510176,1.58164366372293,1.5947159666196,1.52188346494417,1.64616975327501,1.35020101804881
114,114,114,3,2,1,15.87,1,2,26.5,210112_15,N59022,12.44912683,0,14.258,0.190349277598541,1.16765395504238,1.26674426130995,1.75216782232261,1.22263861465085,1.68436797778609
115,115,115,3,2,1,15.6,1,2,25.5,210112_17,N59026,16.36641572,1,12.677,0.505482369645815,1.37251128157523,1.34873718763736,1.60452809441697,1.58760062221386,1.68436797778609
116,116,116,3,2,1,15.87,1,2,30.2,210112_14,N59033,18.47358067,1,11.24,0.226067615658363,1.48270692717152,1.34873718763736,1.47033562825606,1.26400474437223,1.68436797778609
117,117,117,3,2,1,15.87,1,2,25.5,210112_16,N59035,17.10460469,6,12.106,0.509086403436313,1.41111538331924,1.75870181927442,1.55120596624865,1.59177452663932,1.68436797778609
118,118,118,3,1,2,16.07,1,2,33.4,210112_7,N59039,19.56598892,5,12.434,0.550908798455847,1.53983517067398,1.67670889294701,1.58183584022275,1.64020988818215,1.68436797778609
119,119,119,3,1,2,16.1,1,2,26.6,210112_8,N59041,18.32372833,2,12.942,0.29330860763406,1.47487029561099,1.43073011396477,1.62927479137775,1.34187789714889,1.68436797778609
120,120,120,2,1,1,15.03,1,1,34.6,210222_14,N59065,20.0124892400008,4,10.946,0.524027041841769,1.56318521311914,1.5947159666196,1.44288080219391,1.60907758215565,1.35020101804881
121,121,121,2,1,1,15.03,1,1,35.7,210222_15,N59066,17.4226383535075,5,9.882,0.488767455980571,1.42774717328497,1.67670889294701,1.34352047930232,1.5682427426339,1.35020101804881
122,122,122,3,1,2,16.07,1,2,28.4,210112_5,N59072,18.29204822,3,13.153,0.417319242758306,1.47321356239036,1.51272304029218,1.64897876518426,1.48549712183926,1.68436797778609
